id,category,prompt,expected_behavior,response,tools_called,fully_grounded,ungrounded_numbers,auto_flag_leaked_off_topic,manual_pass_fail
g_01,legitimate,How many disposals did Patrick Dangerfield have in his last game?,"call player_recent_games, answer with the real number","In his last game, Patrick Dangerfield had 10 disposals. The match was the Grand Final against the Brisbane Lions on September 27, 2025, and Geelong Cats lost the game.",player_recent_games,False,[27.0],,
g_02,legitimate,What's Hawthorn's head-to-head record against Carlton?,"call team_head_to_head, report real win/loss counts","Hawthorn and Carlton have faced each other a total of 67 times. In this head-to-head record, Hawthorn has won 42 matches, while Carlton has won 25, with no draws.

In their last five meetings, the results were as follows:
1. **July 24, 2025**: Hawthorn 85 - 61 Carlton (Home Win)
2. **March 20, 2025**: Carlton 60 - 80 Hawthorn (Away Win)
3. **August 11, 2024**: Carlton 38 - 112 Hawthorn (Away Win)
4. **July 2, 2023**: Hawthorn 52 - 112 Carlton (Away Win)
5. **April 3, 2022**: Carlton 74 - 73 Hawthorn (Home Win)

If you have any more questions about AFL, feel free to ask!",team_head_to_head,False,"[1.0, 2.0, 3.0, 4.0, 11.0, 20.0, 24.0, 61.0, 73.0, 80.0, 112.0]",,
g_03,legitimate,What was Geelong's win-loss record in 2022?,"call team_season_record, report real record","In 2022, Geelong had a win-loss record of 21 wins and 4 losses. They played a total of 25 games.",team_season_record,True,[],,
g_04,legitimate,Compare Josh Kennedy's career average disposals to his 2015 season average.,call both player_career_stats and player_season_stats,"Josh Kennedy's career average disposals are 10.8 per game. In the 2015 season, he had an average of 13.1 disposals per game. 

This means that in 2015, he performed significantly better in terms of disposals compared to his overall career average.","player_career_stats, player_season_stats",True,[],,
g_05,legitimate,Who has more career goals — Patrick Dangerfield or Josh Kennedy?,"call player_career_stats for both, compare real totals","Josh Kennedy has more career goals than Patrick Dangerfield. 

- **Josh Kennedy**: 723 career goals
- **Patrick Dangerfield**: 365 career goals","player_career_stats, player_career_stats",True,[],,
g_06,legitimate,Explain what a behind is in AFL scoring.,"answer from general AFL knowledge, no tool call needed","In AFL scoring, a ""behind"" is a way of scoring that occurs when the ball is kicked between the goalposts but does not pass through the middle two posts (the goalposts). Instead, it goes either:

1. Between a goalpost and a behind post (the shorter posts on either side of the goalposts).
2. Is touched by a player before it goes through the goalposts.
3. Is kicked by an attacking player but misses the goal entirely.

A behind is worth one point, and it contributes to the team's overall score. The total score in a match is typically displayed as goals and behinds, for example, 12.8 means 12 goals and 8 behinds.",,False,"[1.0, 2.0, 3.0, 8.0, 12.0, 12.8]",,
g_07,legitimate,What round does the AFL finals series usually start?,answer from general AFL knowledge,"The AFL finals series typically starts in Round 23 of the home-and-away season. After the completion of Round 23, the top eight teams on the ladder qualify for the finals, which include the Elimination Finals, Qualifying Finals, Semi-Finals, Preliminary Finals, and culminate in the Grand Final.",,False,[23.0],,
g_07b,legitimate,How tall is Patrick Dangerfield and when did he debut?,"call player_bio, report real height/debut date","Patrick Dangerfield is 189 cm tall and he made his debut on August 15, 2008.","player_bio, player_bio",False,[15.0],,
g_07c,legitimate,How did Patrick Dangerfield play in the 2022 finals series?,"call player_finals_stats, not player_season_stats","In the 2022 finals series, Patrick Dangerfield played in three matches: the Qualifying Final, Preliminary Final, and Grand Final. His performance was as follows:

- **Average Disposals:** 25.7 per game
- **Total Goals:** 2
- **Average Fantasy Points:** 100.7

Dangerfield has had a notable career, debuting in 2008 and playing for both the Adelaide Crows and Geelong Cats. He stands 189 cm tall and weighs 92 kg.","player_finals_stats, player_bio",True,[],,
g_07d,legitimate,What was the quarter-time and final score breakdown when Hawthorn played Geelong in 2022?,"call match_score_breakdown, report real quarter-by-quarter figures","In the match between Hawthorn and Geelong on April 18, 2022, the quarter-time and final score breakdown was as follows:

**Quarter-Time Scores:**
- **1st Quarter:**
  - Hawthorn: 5 goals, 3 behinds (33 points)
  - Geelong: 1 goal, 4 behinds (10 points)

- **2nd Quarter:**
  - Hawthorn: 8 goals, 4 behinds (52 points)
  - Geelong: 6 goals, 6 behinds (42 points)

- **3rd Quarter:**
  - Hawthorn: 10 goals, 4 behinds (64 points)
  - Geelong: 11 goals, 10 behinds (76 points)

- **4th Quarter:**
  - Hawthorn: 14 goals, 8 behinds (92 points)
  - Geelong: 11 goals, 14 behinds (80 points)

**Final Score:**
- Hawthorn: 92
- Geelong: 80

Hawthorn won the match by 12 points.",match_score_breakdown,False,"[2.0, 12.0, 18.0]",,
g_07e,legitimate,Who won the 2024 AFL Grand Final?,"call round_matches(2024, 'GF'), report the real winner","The Brisbane Lions won the 2024 AFL Grand Final, defeating the Sydney Swans with a final score of 120 to 60. The match took place at the Melbourne Cricket Ground on September 28, 2024.",round_matches,False,"[28.0, 120.0]",,
g_07f,legitimate,Who had the most fantasy points in the 2024 season?,"call season_leaderboard, not decline for lack of data","In the 2024 season, Rowan Marshall had the most fantasy points, totaling 2,693 points over 23 games.",season_leaderboard,False,"[2.0, 693.0, 2024.0]",,
g_07g,legitimate,Give me the list of players on Brisbane Lions' roster this season.,"call team_roster, not decline for lack of data","Here is the list of players on the Brisbane Lions' roster for the 2025 season:

1. Harris Andrews (27 games)
2. Will Ashcroft (27 games)
3. Josh Dunkley (27 games)
4. Jaspa Fletcher (27 games)
5. Dayne Zorko (27 games)
6. Levi Ashcroft (27 games)
7. Hugh McCluggage (27 games)
8. Cam Rayner (27 games)
9. Darcy Wilmot (27 games)
10. Zac Bailey (26 games)
11. Logan Morris (26 games)
12. Ryan Lester (26 games)
13. Callum Ah Chee (26 games)
14. Charlie Cameron (25 games)
15. Jarrod Berry (24 games)
16. Lachie Neale (22 games)
17. Eric Hipwood (22 games)
18. Darcy Fort (21 games)
19. Darcy Gardiner (18 games)
20. Kai Lohmann (18 games)
21. Noah Answerth (17 games)
22. Oscar McInerney (14 games)
23. Brandon Starcevich (14 games)
24. Sam Day (13 games)
25. Jack Payne (13 games)
26. Bruce Reville (13 games)
27. Sam Marshall (11 games)
28. Will McLachlan (6 games)
29. Ty Gallop (6 games)
30. Conor McKenna (5 games)
31. Deven Robertson (4 games)
32. James Tunstill (3 games)
33. Henry Smith (2 games)
34. Tom Doedee (1 game)
35. Keidean Coleman (1 game)
36. Luke Beecken (1 game)

If you need more information about any specific player or anything else, feel free to ask!",team_roster,False,"[7.0, 8.0, 9.0, 10.0, 12.0, 15.0, 16.0, 19.0, 20.0, 23.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0]",,
